DATETIME;DOCUMENT;USERNAME;COMPUTER;PRINTER;COUNT
2019-04-30 15:11:17.564898;РУ Китруда.pdf;malafeeva_mm;KRMPZX634;Office_mb2;2
2019-04-30 15:11:25.658800;Счет фактура.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:11:35.799622;Счет.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:11:45.112301;Торг 12 207 аук.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:18:02.010160;Microsoft Word - Акт приема передачи 208 аук;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:18:17.307331;Китруда 8302617001.pdf;malafeeva_mm;KRMPZX634;Office_mb2;4
2019-04-30 15:18:22.744934;Приложение.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:18:32.541998;Протокол.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:18:45.854753;РУ Китруда.pdf;malafeeva_mm;KRMPZX634;Office_mb2;2
2019-04-30 15:18:54.229914;Счет фактура.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:19:02.995708;Счет.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:19:13.136528;Торг 12 208 аук..xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:19:30.761866;Microsoft Word - Акт приема передачи 209 аук;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:19:46.121536;Китруда 8302617001.pdf;malafeeva_mm;KRMPZX634;Office_mb2;4
2019-04-30 15:19:51.590389;Приложение.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:20:03.278114;Протокол.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:20:16.825251;РУ Китруда.pdf;malafeeva_mm;KRMPZX634;Office_mb2;2
2019-04-30 15:20:27.934837;Счет фактура.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:20:49.872759;Счет.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:21:13.185707;Торг 12 209 аук..xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:21:56.702168;Microsoft Word - Акт приема передачи 210 аук;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:22:11.796207;Китруда 8302617001.pdf;malafeeva_mm;KRMPZX634;Office_mb2;4
2019-04-30 15:22:16.890055;Приложение.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:22:25.968355;Протокол .xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:22:38.077963;РУ Китруда.pdf;malafeeva_mm;KRMPZX634;Office_mb2;2
2019-04-30 15:22:45.328102;Счет фактура.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:22:54.578279;Счет.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:23:04.406593;Торг  12 210 аук.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:28:52.960159;Microsoft Word - Акт приема передачи 211 аук;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:29:07.007305;Китруда 8302617001.pdf;malafeeva_mm;KRMPZX634;Office_mb2;4
2019-04-30 15:29:11.819897;Приложение .xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:29:20.585691;Протокол.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
